,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
0,30, Private,284211, Prof-school,12, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, >50K
1,57, Private,157327, 5th-6th,10, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, >50K
2,51, Private,108859, Bachelors,9, Never-married, Craft-repair, Husband, White, Female,0,0,48, United-States, <=50K
3,35, Private,86643, Some-college,11, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, Peru, <=50K
4,51, Private,116360, Bachelors,9, Never-married, Prof-specialty, Husband, White, Female,0,0,40, United-States, >50K
5,43, Private,280146, HS-grad,5, Never-married, Machine-op-inspct, Husband, White, Female,0,0,40, United-States, <=50K
6,57, Private,282680, Prof-school,14, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K
7,45, Private,265192, Some-college,9, Never-married, Craft-repair, Not-in-family, White, Female,0,0,60, United-States, <=50K
8,29, Private,168981, Bachelors,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K
9,50, Private,298786, Some-college,14, Divorced, Sales, Husband, White, Male,0,0,20, United-States, <=50K
10,18, Self-emp-not-inc,219262, HS-grad,13, Divorced, Other-service, Husband, Black, Female,0,0,72, United-States, >50K
11,39, Private,103751, HS-grad,10, Married-civ-spouse, Tech-support, Husband, White, Female,0,0,40, United-States, <=50K
12,66, Private,404616, Assoc-voc,13, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K
13,80, Private,180342, Bachelors,10, Divorced, Adm-clerical, Husband, White, Female,0,0,40, United-States, <=50K
14,43, Local-gov,111483, Assoc-voc,10, Divorced, ?, Not-in-family, White, Male,0,0,45, United-States, <=50K
15,59, Private,157747, Some-college,12, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States, <=50K
16,20, State-gov,37232, Bachelors,10, Never-married, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
17,35, State-gov,28568, 9th,10, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, >50K
18,28, Private,334133, HS-grad,9, Married-civ-spouse, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, >50K
19,56, Private,215891, Bachelors,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States, >50K
20,59, Private,230113, HS-grad,9, Never-married, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
21,23, Private,46247, HS-grad,9, Never-married, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K
22,51, Private,337720, Bachelors,10, Never-married, Craft-repair, Husband, White, Female,0,0,38, United-States, >50K
23,22, Private,156417, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K
24,27, Private,209934, Some-college,13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, >50K
25,26, Private,673764, Prof-school,5, Divorced, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,35, United-States, >50K
26,40, Private,231482, HS-grad,9, Divorced, Transport-moving, Own-child, Black, Male,0,1579,55, United-States, >50K
27,55, Private,141483, Some-college,9, Divorced, Prof-specialty, Unmarried, White, Male,0,0,40, China, >50K
